State,State_code,District,District_code,Market_code,Market
Andhra Pradesh,AP,Krishna,16,1088,Vijayawada
Andhra Pradesh,AP,Krishna,16,1221,"Vijayawada(S.Maidan),RBZ"
Andhra Pradesh,AP,Krishna,16,1093,Vuyyur
Andhra Pradesh,AP,Krishna,16,3568,"Vuyyur,RBZ"
Andhra Pradesh,AP,Krishna,16,4298,Vuyyuru(Rythu Bazar)
Andhra Pradesh,AP,Kurnool,17,3583,"A.A.Nagar,Kurnool,RBZ"
Andhra Pradesh,AP,Kurnool,17,863,Adoni
Andhra Pradesh,AP,Kurnool,17,3582,"Adoni,RBZ"
Andhra Pradesh,AP,Kurnool,17,387,Allagadda
Andhra Pradesh,AP,Kurnool,17,869,Alur
Andhra Pradesh,AP,Kurnool,17,877,Atmakur
Andhra Pradesh,AP,Kurnool,17,880,Banaganapalli
Andhra Pradesh,AP,Kurnool,17,1237,"C.Camp,RBZ"
Andhra Pradesh,AP,Kurnool,17,906,Dhone
Andhra Pradesh,AP,Kurnool,17,955,Koilkunta
Andhra Pradesh,AP,Kurnool,17,1238,"Kothpet,RBZ"
Andhra Pradesh,AP,Kurnool,17,968,Kurnool
Andhra Pradesh,AP,Kurnool,17,4299,Kurnool(Rythu Bazar)
Andhra Pradesh,AP,Kurnool,17,388,Nandikotkur
Andhra Pradesh,AP,Kurnool,17,1001,Nandyal
Andhra Pradesh,AP,Kurnool,17,3581,"Nandyal(Srinivasnagar),RBZ"
Andhra Pradesh,AP,Kurnool,17,2194,Pahikonda
Andhra Pradesh,AP,Kurnool,17,1025,Pattikonda
Andhra Pradesh,AP,Kurnool,17,1099,Yemmiganur
Andhra Pradesh,AP,Nellore,18,3642,Alluru
Andhra Pradesh,AP,Nellore,18,381,Atmakur(SPS)
Andhra Pradesh,AP,Nellore,18,1234,"Fatehkhanpet,RBZ"
Andhra Pradesh,AP,Nellore,18,921,Gudur
Andhra Pradesh,AP,Nellore,18,3574,"Gudur (G. Mpl Park),RBZ"
Andhra Pradesh,AP,Nellore,18,951,Kavali
Andhra Pradesh,AP,Nellore,18,3575,"Kavali,RBZ"
Andhra Pradesh,AP,Nellore,18,963,Kovur
Andhra Pradesh,AP,Nellore,18,998,Naidupet
Andhra Pradesh,AP,Nellore,18,1011,Nellore
Andhra Pradesh,AP,Nellore,18,1233,"Nellore(Play Ground),RBZ"
Andhra Pradesh,AP,Nellore,18,1047,Rapur
Andhra Pradesh,AP,Nellore,18,1064,Sullurpet
Andhra Pradesh,AP,Nellore,18,1080,Udayagiri
Andhra Pradesh,AP,Nellore,18,1084,Vakadu
Andhra Pradesh,AP,Nellore,18,1086,Venkatagiri
Andhra Pradesh,AP,Prakasam,19,861,Addanki
Andhra Pradesh,AP,Prakasam,19,897,Chirala
Andhra Pradesh,AP,Prakasam,19,900,Cumbum(AP)
Andhra Pradesh,AP,Prakasam,19,379,Darsi
Andhra Pradesh,AP,Prakasam,19,1232,"Dibbala Bazar,RBZ"
Andhra Pradesh,AP,Prakasam,19,917,Giddalur
Andhra Pradesh,AP,Prakasam,19,948,Kandukur
Andhra Pradesh,AP,Prakasam,19,3573,"Kandukur (MRO Complex),RBZ"
Andhra Pradesh,AP,Prakasam,19,949,Kanigiri
Andhra Pradesh,AP,Prakasam,19,957,Kondapi
Andhra Pradesh,AP,Prakasam,19,1230,"Kothapatnam B.Stand,RBZ"
Andhra Pradesh,AP,Prakasam,19,1231,"Lawyer pet (Sai tmpl),RBZ"
Andhra Pradesh,AP,Prakasam,19,974,Maddipadu
Andhra Pradesh,AP,Prakasam,19,985,Markapur
Andhra Pradesh,AP,Prakasam,19,2043,Martur
Andhra Pradesh,AP,Prakasam,19,1014,Ongole
Andhra Pradesh,AP,Prakasam,19,4303,Ongole(Rythu Bazar)
Andhra Pradesh,AP,Prakasam,19,1021,Parchur
Andhra Pradesh,AP,Prakasam,19,1031,Podili
Andhra Pradesh,AP,Prakasam,19,1052,Santhamaguluru
Andhra Pradesh,AP,Prakasam,19,380,Singarayakonda
Andhra Pradesh,AP,Srikakulam,21,872,Amadalavalasa
Andhra Pradesh,AP,Srikakulam,21,3551,"Amudalavalasa ,RBZ"
Andhra Pradesh,AP,Srikakulam,21,926,Hiramandalam
Andhra Pradesh,AP,Srikakulam,21,931,Ichapuram
Andhra Pradesh,AP,Srikakulam,21,946,Kanchili
Andhra Pradesh,AP,Srikakulam,21,960,Kothabommali
Andhra Pradesh,AP,Srikakulam,21,372,Narasannapet
Andhra Pradesh,AP,Srikakulam,21,1017,Palakonda
Andhra Pradesh,AP,Srikakulam,21,1026,Pathapatnam
Andhra Pradesh,AP,Srikakulam,21,1033,Ponduru
Andhra Pradesh,AP,Srikakulam,21,1043,Rajam
Andhra Pradesh,AP,Srikakulam,21,1364,Sompeta
Andhra Pradesh,AP,Srikakulam,21,1062,Srikakulam
Andhra Pradesh,AP,Srikakulam,21,3550,"Srikakulam (Illandu Junction),RBZ"
Andhra Pradesh,AP,Srikakulam,21,1071,Tekkali
Andhra Pradesh,AP,Vijayanagaram,9,888,Bobbili
Andhra Pradesh,AP,Vijayanagaram,9,891,Chipurupalli
Andhra Pradesh,AP,Vijayanagaram,9,911,Gajapathinagaram
Andhra Pradesh,AP,Vijayanagaram,9,961,Kothavalasa
Andhra Pradesh,AP,Vijayanagaram,9,969,Kurupam
Andhra Pradesh,AP,Vijayanagaram,9,1202,"Old Maharaj Hospital,RBZ,Vizianagaram"
Andhra Pradesh,AP,Vijayanagaram,9,1022,Parvathipuram
Andhra Pradesh,AP,Vijayanagaram,9,3552,"Parvathipuram ,RBZ"
Andhra Pradesh,AP,Vijayanagaram,9,1039,Pusapatirega
Andhra Pradesh,AP,Vijayanagaram,9,1203,"R and B Guest House,RBZ,Vizianagaram"
Andhra Pradesh,AP,Vijayanagaram,9,1204,"Ring Road Jn.,RBZ, Vizianagaram"
Andhra Pradesh,AP,Vijayanagaram,9,1051,Saluru
Andhra Pradesh,AP,Vijayanagaram,9,18,Vijayanagaram
Andhra Pradesh,AP,Vijayanagaram,9,4306,Vijayanagaram(Rythu Bazar)
Andhra Pradesh,AP,Visakhapatnam,22,1206,"Akkaiahpalem,RBZ,Visakhapatnam"
Andhra Pradesh,AP,Visakhapatnam,22,1776,Anakapally
Andhra Pradesh,AP,Visakhapatnam,22,2334,Bheemunipatnam
Andhra Pradesh,AP,Visakhapatnam,22,883,Bhimunipatnam
Andhra Pradesh,AP,Visakhapatnam,22,895,Chintapally
Andhra Pradesh,AP,Visakhapatnam,22,899,Chodavaram
Andhra Pradesh,AP,Visakhapatnam,22,1213,"Gajuwaka,RBZ,Visakhapatnam"
Andhra Pradesh,AP,Visakhapatnam,22,1210,"Gopala Patnam Cent.,RBZ,Visakhapatnam"
Andhra Pradesh,AP,Visakhapatnam,22,1356,"Kancharlapalem,RBZ"
Andhra Pradesh,AP,Visakhapatnam,22,1207,"M.V.P.Colony,RBZ,Visakhapatnam"
Andhra Pradesh,AP,Visakhapatnam,22,3554,"Madhurawada,RBZ"
Andhra Pradesh,AP,Visakhapatnam,22,1211,"Marripalem,RBZ,Visakhapatnam"
Andhra Pradesh,AP,Visakhapatnam,22,1209,"Mulagada,Visakhapatnam"
Andhra Pradesh,AP,Visakhapatnam,22,1006,Narsipatnam
Andhra Pradesh,AP,Visakhapatnam,22,1015,Paderu
Andhra Pradesh,AP,Visakhapatnam,22,1212,"Pedagantiyada,RBZ,Visakhapatnam"
Andhra Pradesh,AP,Visakhapatnam,22,1208,"Peddavaltair,RBZ,Visakhapatnam"
Andhra Pradesh,AP,Visakhapatnam,22,3553,"Pendurthi,RBZ"
Andhra Pradesh,AP,Visakhapatnam,22,4307,Seethammadhara(Rythu Bazar)
Andhra Pradesh,AP,Visakhapatnam,22,1205,"Seethammadhara,RBZ,Visakhapatnam"
Andhra Pradesh,AP,Visakhapatnam,22,1355,"Steel Plant,RBZ"
Andhra Pradesh,AP,Visakhapatnam,22,1354,Vadlapudi
Andhra Pradesh,AP,Visakhapatnam,22,874,Visakhapatnam
Andhra Pradesh,AP,Visakhapatnam,22,1098,Yellamanchili
Andhra Pradesh,AP,West Godavari,23,860,Achanta
Andhra Pradesh,AP,West Godavari,23,864,Akiveedu
Andhra Pradesh,AP,West Godavari,23,878,Attili
Andhra Pradesh,AP,West Godavari,23,885,Bhimadole
Andhra Pradesh,AP,West Godavari,23,884,Bhimavaram
Andhra Pradesh,AP,West Godavari,23,3560,"Bhimavaram,RBZ"
Andhra Pradesh,AP,West Godavari,23,896,Chintalapudi
Andhra Pradesh,AP,West Godavari,23,3809,Denduluru
Andhra Pradesh,AP,West Godavari,23,909,Eluru
Andhra Pradesh,AP,West Godavari,23,1218,"Eluru(P.Sri.Mkt),RBZ"
Andhra Pradesh,AP,West Godavari,23,1220,"Eluru-II,RBZ"
Andhra Pradesh,AP,West Godavari,23,920,Gopalavaram
Andhra Pradesh,AP,West Godavari,23,964,Kovvur
Andhra Pradesh,AP,West Godavari,23,3559,"Kovvur,RBZ"
Andhra Pradesh,AP,West Godavari,23,1010,Narsapuram
Andhra Pradesh,AP,West Godavari,23,3561,"Narsapuram,RBZ"
Andhra Pradesh,AP,West Godavari,23,1219,Nidadavolu
Andhra Pradesh,AP,West Godavari,23,1018,Palakole
Andhra Pradesh,AP,West Godavari,23,3558,"Palakole ,RBZ"
Andhra Pradesh,AP,West Godavari,23,4309,Pathebad(Rythu Bazar)
Andhra Pradesh,AP,West Godavari,23,374,Penugonda
Andhra Pradesh,AP,West Godavari,23,1032,Polavaram
Andhra Pradesh,AP,West Godavari,23,1067,Tadepalligudem
Andhra Pradesh,AP,West Godavari,23,1070,Tanuku
Andhra Pradesh,AP,West Godavari,23,2635,Undi
Andhra Pradesh,AP,West Godavari,23,1081,Ungatur
Arunachal Pradesh,AR,Changlang,2,1865,Miao
Arunachal Pradesh,AR,East Kameng,4,2916,Seppa
Arunachal Pradesh,AR,East Siang,5,368,Pasighat
Arunachal Pradesh,AR,Lohit,7,2919,Anjaw
Arunachal Pradesh,AR,Lohit,7,401,Tezu
Arunachal Pradesh,AR,Lower Dibang Valley,3,1135,Roing
Arunachal Pradesh,AR,Lower Subansiri,6,1136,Ziro
Arunachal Pradesh,AR,Papum Pore,1,2918,Kurung Kumey
Arunachal Pradesh,AR,Papum Pore,1,20,Naharlagun
Arunachal Pradesh,AR,Tawang,9,402,Tawang
Arunachal Pradesh,AR,Tirap,10,1864,Khonsa
Arunachal Pradesh,AR,Upper Siang,14,2917,Yingkiong
Arunachal Pradesh,AR,Upper Subansiri,11,1867,Daporijo
Arunachal Pradesh,AR,West Kameng,12,1863,Bomdila
Arunachal Pradesh,AR,West Siang,13,1866,Along
Assam,AS,Bangaigaon,4,1879,Bongiagaon
Assam,AS,Barpeta,5,407,Bohorihat
Assam,AS,Barpeta,5,403,Howly
Assam,AS,Cachar,6,405,Cachar
Assam,AS,Darrang,1,21,Kharupetia
Assam,AS,Dhemaji,7,410,Silapathar
Assam,AS,Dhubri,2,22,Gauripur
Assam,AS,Dibrugarh,9,1883,Dibrugarh
Assam,AS,Goalpara,10,1880,Goalpara
Assam,AS,Golaghat,11,408,Golaghat
Assam,AS,Hailakandi,12,1886,Hailakandi
Assam,AS,Jorhat,13,409,Jorhat
Assam,AS,Kamrup,3,1888,Goreswar
Assam,AS,Kamrup,3,23,P.O. Uparhali Guwahati
Assam,AS,Kamrup,3,8207,Pamohi(Garchuk)
Assam,AS,Karimganj,14,1887,Karimganj
Assam,AS,Kokrajhar,15,1137,Srirampur
Assam,AS,Lakhimpur,16,1882,North Lakhimpur
Assam,AS,Marigaon,18,8206,Kushtholy
Assam,AS,Nagaon,19,404,Dhing
Assam,AS,Nagaon,19,1138,Lanka
Assam,AS,Nalbari,20,1885,Nalbari
Assam,AS,Sibsagar,22,1884,Sivasagar
Assam,AS,Sonitpur,23,1881,Dhekiajuli
Assam,AS,Tinsukia,24,406,Tinsukia
Bihar,BI,Araria,19,806,Arreria
Bihar,BI,Araria,19,1640,Forbesganj
Bihar,BI,Araria,19,10000,Raniganj
Bihar,BI,Arwal,94,1635,Arwal
Bihar,BI,Aurangabad,20,416,Aurangabad
Bihar,BI,Aurangabad,20,10001,Daunagar
Bihar,BI,Aurangabad,20,10002,Kutumba
Bihar,BI,Banka,21,10004,Amarpur
Bihar,BI,Banka,21,1650,Barahat
Bihar,BI,Banka,21,10003,Rajaun
Bihar,BI,Begusarai,1,10005,Balliah
Bihar,BI,Begusarai,1,24,Begusarai
Bihar,BI,Begusarai,1,1648,Teghra
Bihar,BI,Bhagalpur,2,25,Bhagalpur
Bihar,BI,Bhagalpur,2,10006,Bihpur
Bihar,BI,Bhagalpur,2,1646,Kahalgaon
Bihar,BI,Bhagalpur,2,10007,Naugachiya
Bihar,BI,Bhojpur,23,414,Aarah
Bihar,BI,Bhojpur,23,10008,Bihiya
Bihar,BI,Bhojpur,23,10009,Piro
Bihar,BI,Buxar,25,10011,Brahmpur
Bihar,BI,Buxar,25,415,Buxur
Bihar,BI,Buxar,25,10010,Dumarao
Bihar,BI,Chhapra,55,26,Chhapra
Bihar,BI,Darbhanga,4,10013,Bahadurpur (Ekmi Ghat)
Bihar,BI,Darbhanga,4,10012,Benipir
Bihar,BI,Darbhanga,4,1659,Biraul
Bihar,BI,Darbhanga,4,27,Darbhanga
Bihar,BI,East Champaran/ Motihari,26,1657,Chakia
Bihar,BI,East Champaran/ Motihari,26,10021,Madhuban
Bihar,BI,East Champaran/ Motihari,26,424,Motihari
Bihar,BI,East Champaran/ Motihari,26,10022,Raxaul
Bihar,BI,Gaya,9,32,Gaya
Bihar,BI,Gaya,9,10014,Tekari
